,lon,lat,diversity
146,-1165000.0,6984039.0,11.0
147,-1075000.0,6984039.0,5.0
148,-985000.0,6984039.0,3.0
149,-895000.0,6984039.0,8.0
150,-805000.0,6984039.0,11.0
151,-715000.0,6984039.0,6.0
152,-625000.0,6984039.0,6.0
153,-535000.0,6984039.0,5.0
154,-445000.0,6984039.0,7.0
155,-355000.0,6984039.0,8.0
156,-265000.0,6984039.0,8.0
157,-175000.0,6984039.0,9.0
158,-85000.0,6984039.0,6.0
159,5000.0,6984039.0,9.0
160,95000.0,6984039.0,9.0
161,185000.0,6984039.0,9.0
162,275000.0,6984039.0,8.0
163,365000.0,6984039.0,6.0
164,455000.0,6984039.0,7.0
165,545000.0,6984039.0,9.0
166,635000.0,6984039.0,5.0
167,725000.0,6984039.0,8.0
168,815000.0,6984039.0,8.0
169,905000.0,6984039.0,0.0
170,995000.0,6984039.0,0.0
171,1085000.0,6984039.0,6.0
172,1175000.0,6984039.0,7.0
173,1265000.0,6984039.0,8.0
174,1355000.0,6984039.0,8.0
175,1445000.0,6984039.0,5.0
176,1535000.0,6984039.0,10.0
177,1625000.0,6984039.0,12.0
178,1715000.0,6984039.0,6.0
179,1805000.0,6984039.0,7.0
180,-2155000.0,6836621.57142857,5.0
181,-2065000.0,6836621.57142857,6.0
182,-1975000.0,6836621.57142857,7.0
183,-1885000.0,6836621.57142857,5.0
184,-1795000.0,6836621.57142857,8.0
185,-1705000.0,6836621.57142857,6.0
186,-1615000.0,6836621.57142857,5.0
187,-1525000.0,6836621.57142857,8.0
188,-1435000.0,6836621.57142857,4.0
189,-1345000.0,6836621.57142857,8.0
190,-1255000.0,6836621.57142857,8.0
191,-1165000.0,6836621.57142857,7.0
192,-1075000.0,6836621.57142857,5.0
193,-985000.0,6836621.57142857,5.0
194,-895000.0,6836621.57142857,6.0
195,-805000.0,6836621.57142857,6.0
196,-715000.0,6836621.57142857,5.0
197,-625000.0,6836621.57142857,7.0
198,-535000.0,6836621.57142857,8.0
199,-445000.0,6836621.57142857,7.0
200,-355000.0,6836621.57142857,9.0
201,-265000.0,6836621.57142857,8.0
202,-175000.0,6836621.57142857,10.0
203,-85000.0,6836621.57142857,10.0
204,5000.0,6836621.57142857,8.0
205,95000.0,6836621.57142857,8.0
206,185000.0,6836621.57142857,7.0
207,275000.0,6836621.57142857,5.0
208,365000.0,6836621.57142857,9.0
209,455000.0,6836621.57142857,11.0
210,545000.0,6836621.57142857,6.0
211,635000.0,6836621.57142857,11.0
212,725000.0,6836621.57142857,8.0
213,815000.0,6836621.57142857,10.0
214,905000.0,6836621.57142857,9.0
215,995000.0,6836621.57142857,0.0
216,1085000.0,6836621.57142857,0.0
217,1175000.0,6836621.57142857,6.0
218,1265000.0,6836621.57142857,6.0
219,1355000.0,6836621.57142857,6.0
220,1445000.0,6836621.57142857,7.0
221,1535000.0,6836621.57142857,7.0
222,1625000.0,6836621.57142857,8.0
223,1715000.0,6836621.57142857,6.0
224,1805000.0,6836621.57142857,0.0
225,-2155000.0,6689204.14285714,3.0
226,-2065000.0,6689204.14285714,4.0
227,-1975000.0,6689204.14285714,5.0
228,-1885000.0,6689204.14285714,7.0
229,-1795000.0,6689204.14285714,4.0
230,-1705000.0,6689204.14285714,6.0
231,-1615000.0,6689204.14285714,7.0
232,-1525000.0,6689204.14285714,5.0
233,-1435000.0,6689204.14285714,6.0
234,-1345000.0,6689204.14285714,8.0
235,-1255000.0,6689204.14285714,8.0
236,-1165000.0,6689204.14285714,7.0
237,-1075000.0,6689204.14285714,8.0
238,-985000.0,6689204.14285714,8.0
239,-895000.0,6689204.14285714,8.0
240,-805000.0,6689204.14285714,9.0
241,-715000.0,6689204.14285714,5.0
242,-625000.0,6689204.14285714,8.0
243,-535000.0,6689204.14285714,7.0
244,-445000.0,6689204.14285714,7.0
245,-355000.0,6689204.14285714,7.0
246,-265000.0,6689204.14285714,5.0
247,-175000.0,6689204.14285714,9.0
248,-85000.0,6689204.14285714,7.0
