GRIDCODE,XCOO,YCOO,AREA,PERIMETER,X_COORD,Y_COORD,OceanTag,LenCoast,PctLand,NPPMN,NPPMX,PctLand,temp,wetdays,Plants,Mammals,Precip_ratio_end21st_start_21st_c,temp_2091_2099,wetdays_2091_2099,wetdays_2091_2099_capped,Amphib,Reptile,Bird,PlantsNorm,AmphibsNorm,ReptilesNorm,MammalsNorm,LandEctoNorm,LandAllNorm
99,9,3,791315.204,3558.236,-112,40.03754,Land,0,0.999999,1800.771249,7744,0.999999,7.981818182,6.713963161,2058.45,167,1.10122592,15.48571436,7.393590259,7.393590259,29,68,365,0.330485698,0.048903879,0.193181818,0.392018779,0.190857132,0.241147544
100,10,3,791315.204,3558.236,-104,40.03754,Land,0,0.999999,2687.363699,9375,0.999999,8.206758764,7.042505942,1993.98,153,0.97901322,15.35993323,6.894706419,6.894706419,24,61,372,0.320134991,0.040472175,0.173295455,0.35915493,0.17796754,0.223264388
101,11,3,791315.204,3558.236,-96,40.03754,Land,0,0.999999,3811.016293,10589,0.999999,11.25556298,7.866243316,1693.12,114,0.94898362,17.79481304,7.464936058,7.464936058,60,62,351,0.271831691,0.101180438,0.176136364,0.267605634,0.183049498,0.204188532
102,12,3,791315.204,3558.236,-88,40.03754,Land,1689.662947,1,5688.364279,14786,1,11.02898841,10.02606209,2264.04,93,0.88882763,17.28445134,8.911441006,8.911441006,89,55,326,0.363493328,0.150084317,0.15625,0.218309859,0.223275882,0.222034376
103,13,3,791315.204,3558.236,-80,40.03754,Land,10111.92248,0.9832,6856.093024,16699,0.9832,10.5383467,11.269541,2264.04,90,0.99058117,16.51425972,11.16339511,11.16339511,110,53,353,0.363493328,0.18549747,0.150568182,0.211267606,0.233186327,0.227706646
104,14,3,791315.204,3558.236,-72,40.03754,Atlantic,9842.453256,0.346868,7608.655718,17241,0.346868,8.244225968,11.45817728,1978.52,78,1.00509087,14.62699485,11.51650937,11.51650937,54,41,352,0.317652876,0.091062395,0.116477273,0.183098592,0.175064181,0.177072784
105,15,3,791315.204,3558.236,-64,40.03754,Atlantic,4015.144848,0.0481205,7599.284503,13963,0.0481205,6.17089372,11.97783816,1288.91,46,1.00257768,12.02460632,12.00871319,12.00871319,17,6,256,0.206935471,0.028667791,0.017045455,0.107981221,0.084216239,0.090157484
106,16,3,791315.204,3558.236,-56,40.03754,Atlantic,63.96753246,2.92E-05,2294.5,3311,0.0000292,8.130555556,12.89722222,0,1,0.99929773,13.26600036,12.88816489,12.88816489,0,0,47,0,0,0,0.002347418,0,0.000586854
107,17,3,791315.204,3558.236,-48,40.03754,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
108,18,3,791315.204,3558.236,-40,40.03754,Atlantic,0,0,0,0,0,11.61458333,15.46527778,0,0,1.13516542,17.82574616,17.55564855,17.55564855,0,0,7,0,0,0,0,0,0
109,19,3,791315.204,3558.236,-32,40.03754,Atlantic,362.6577629,0.00126531,12553.03281,16502,0.00126531,16.36722222,15.20166667,0,2,0.87144286,21.18439941,13.24738388,13.24738388,0,1,29,0,0,0.002840909,0.004694836,0.00094697,0.001883936
110,20,3,791315.204,3558.236,-24,40.03754,Atlantic,412.9037362,0.00177553,13118.59505,17631,0.00177553,16.89212963,13.6787037,1412.18,2,0.82827285,21.83666381,11.3296989,11.3296989,1,1,34,0.226726563,0.001686341,0.002840909,0.004694836,0.077084604,0.058987162
111,21,3,791315.204,3558.236,-16,40.03754,Atlantic,0,0,0,0,0,13.94166667,15.10416667,0,0,1.13032085,18.63125,17.07255451,17.07255451,0,0,16,0,0,0,0,0,0
112,22,3,791315.204,3558.236,-8,40.03754,Atlantic,4198.828527,0.417527,7062.129684,21096,0.417527,13.88406085,10.6166832,2489.49,97,0.62739636,20.20592288,6.660868395,6.660868395,34,48,330,0.399689495,0.057335582,0.136363636,0.227699531,0.197796238,0.205272061
113,23,3,791315.204,3558.236,0,40.03754,Atlantic,4477.134572,0.608467,5810.784122,20736,0.608467,13.10190972,9.44036969,2489.49,117,0.68004304,20.11261015,6.419857703,6.419857703,43,64,362,0.399689495,0.072512648,0.181818182,0.274647887,0.218006775,0.232167053
114,24,3,791315.204,3558.236,8,40.03754,Atlantic,5655.311603,0.391135,7116.943691,21207,0.391135,13.95279088,8.379769392,2904.27,129,0.64950644,20.70059357,5.442714186,5.442714186,55,58,374,0.466282736,0.092748735,0.164772727,0.302816901,0.241268066,0.256655275
115,25,3,791315.204,3558.236,16,40.03754,Atlantic,9734.457064,0.324227,7895.759989,20620,0.324227,13.67051389,10.38270833,2921.49,110,0.69974386,20.24866974,7.265236404,7.265236404,38,41,329,0.46904742,0.064080944,0.116477273,0.258215962,0.216535212,0.2269554
116,26,3,791315.204,3558.236,24,40.03754,Atlantic,15069.28773,0.603513,6147.372524,21917,0.603513,12.6273783,8.687411743,2930.3,119,0.64156094,20.11407391,5.573504044,5.573504044,33,47,337,0.470461872,0.055649241,0.133522727,0.279342723,0.219877947,0.234744141
117,27,3,791315.204,3558.236,32,40.03754,Land,5346.495363,0.530407,4087.862522,22501,0.530407,12.1828741,8.887432796,3180.78,129,0.6691948,19.43708117,5.947423812,5.947423812,30,58,360,0.510676625,0.050590219,0.164772727,0.302816901,0.242013191,0.257214118
118,28,3,791315.204,3558.236,40,40.03754,Land,1673.678105,0.808207,3539.945275,16759,0.808207,11.91944444,9.662246681,3180.78,160,0.75354344,19.2293405,7.280922602,7.280922602,22,104,381,0.510676625,0.037099494,0.295454545,0.375586854,0.281076888,0.30470438
